CID,Name,rdkit_MolWt,rdkit_MolLogP,rdkit_TPSA,rdkit_NumHDonors,rdkit_NumHAcceptors,rdkit_NumRotatableBonds,rdkit_RingCount,rdkit_NumAromaticRings,rdkit_FractionCSP3,rdkit_HeavyAtomCount,has_aldehyde,has_alpha_beta_unsat_aldehyde,has_ketone,has_ester,has_alcohol,has_phenol,has_carboxylic_acid,has_sulfur,has_nitrogen,has_aromatic_ring
61041,safranal ,150.22099999999998,2.4879000000000007,17.07,0.0,1.0,1.0,1.0,0.0,0.5,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61204,delta-undecalactone ,184.27899999999997,3.052500000000002,26.3,0.0,2.0,5.0,1.0,0.0,0.9090909090909091,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61334,furaneol ,170.164,0.7688,52.6,0.0,4.0,1.0,1.0,0.0,0.5,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61585,celestolide ,244.378,4.410500000000004,17.07,0.0,1.0,1.0,2.0,1.0,0.5882352941176471,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62098,heliotropyl acetone ,192.21399999999997,1.9368999999999996,35.53,0.0,3.0,3.0,2.0,1.0,0.36363636363636365,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62334,o-tert-butylcyclohexyl acetate ,198.30599999999998,3.1544000000000016,26.3,0.0,2.0,1.0,1.0,0.0,0.9166666666666666,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62341,styrallyl acetate ,164.20399999999995,2.3106999999999998,26.3,0.0,2.0,2.0,1.0,1.0,0.3,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
62378,dihydro jasmone ,166.26399999999998,3.246100000000002,17.07,0.0,1.0,4.0,1.0,0.0,0.7272727272727273,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62902,manzanate ,144.21399999999997,1.9857,26.3,0.0,2.0,4.0,0.0,0.0,0.875,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64685,borneol ,154.253,2.1935000000000002,20.23,1.0,1.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64805,helional ,192.21399999999994,1.7927999999999995,35.53,0.0,3.0,3.0,2.0,1.0,0.36363636363636365,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64813,canthoxal ,178.23099999999997,2.0726999999999998,26.3,0.0,2.0,4.0,1.0,1.0,0.36363636363636365,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65575,cedrol ,222.37199999999999,3.609800000000003,20.23,1.0,1.0,0.0,3.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80865,fructone,174.19599999999997,0.7025999999999999,44.760000000000005,0.0,4.0,3.0,1.0,0.0,0.875,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83268,dimetol ,144.258,2.583600000000001,20.23,1.0,1.0,4.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86579,tricyclodecenyl propionate ,206.285,2.540300000000001,26.3,0.0,2.0,2.0,3.0,0.0,0.7692307692307693,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87453,indoflor ,176.215,1.9042999999999999,18.46,0.0,2.0,0.0,3.0,1.0,0.45454545454545453,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89440,tonalide ,258.405,4.792620000000005,17.07,0.0,1.0,1.0,2.0,1.0,0.6111111111111112,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90978,isolongifolanone ,220.35599999999997,3.818000000000003,17.07,0.0,1.0,0.0,3.0,0.0,0.9333333333333333,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91497,galaxolide ,258.405,4.525200000000004,9.23,0.0,1.0,0.0,3.0,1.0,0.6666666666666666,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91604,lyral,210.31699999999998,2.853000000000002,37.3,1.0,2.0,5.0,1.0,0.0,0.7692307692307693,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92292,cashmerane ,206.32899999999992,3.738100000000003,17.07,0.0,1.0,0.0,2.0,0.0,0.7857142857142857,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92606,dynascone ,192.30199999999996,3.6582000000000026,17.07,0.0,1.0,4.0,1.0,0.0,0.6153846153846154,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93199,myrac aldehyde ,192.30199999999996,3.6582000000000026,17.07,0.0,1.0,4.0,1.0,0.0,0.6153846153846154,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93375,triplal ,138.20999999999998,2.1776999999999997,17.07,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94111,boisambrene forte ,242.40299999999988,4.670300000000005,18.46,0.0,2.0,4.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95560,pollenal ?,140.226,2.401700000000001,17.07,0.0,1.0,2.0,1.0,0.0,0.8888888888888888,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101330,cyclohexyl salicylate ,220.26800000000003,2.8817000000000017,46.53,1.0,3.0,2.0,2.0,1.0,0.46153846153846156,16.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
102844,dimethyl octenone ,154.253,2.9579000000000013,17.07,0.0,1.0,4.0,0.0,0.0,0.7,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102861,methyl dihydrojasmonate ,226.31599999999995,2.725100000000001,43.370000000000005,0.0,3.0,6.0,1.0,0.0,0.8461538461538461,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102916,irotyl ,172.26799999999997,2.765900000000001,26.3,0.0,2.0,6.0,0.0,0.0,0.9,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105512,floralozone ,190.28599999999997,3.0166000000000013,17.07,0.0,1.0,4.0,1.0,1.0,0.46153846153846156,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105664,floramat ,228.33199999999994,3.764400000000003,35.53,0.0,3.0,2.0,1.0,0.0,0.9230769230769231,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106714,herbavert ,170.296,3.237700000000002,9.23,0.0,1.0,2.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106745,tricyclodecenyl isobutyrate ,220.31199999999998,2.7863000000000016,26.3,0.0,2.0,2.0,3.0,0.0,0.7857142857142857,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106748,floralate ,182.26299999999998,2.541900000000001,26.3,0.0,2.0,2.0,1.0,0.0,0.7272727272727273,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106866,bark carbaldehyde ,192.302,3.059800000000002,17.07,0.0,1.0,2.0,3.0,0.0,0.7692307692307693,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107166,ambrotech ,236.39899999999997,4.408000000000004,9.23,0.0,1.0,0.0,3.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107381,floropal,206.285,3.0732000000000017,18.46,0.0,2.0,1.0,2.0,1.0,0.5384615384615384,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108242,ISO E super ,234.38299999999992,4.518300000000004,17.07,0.0,1.0,1.0,2.0,0.0,0.8125,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108312,phenyl hexanol ,178.27499999999995,2.637700000000001,20.23,1.0,1.0,5.0,1.0,1.0,0.5,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
108443,rosyrane,174.24300000000002,3.0943000000000014,9.23,0.0,1.0,1.0,2.0,1.0,0.3333333333333333,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109116,jasmacyclat ,186.25099999999995,2.8823000000000016,35.53,0.0,3.0,1.0,1.0,0.0,0.9,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109418,floralol ,142.242,2.0510000000000006,20.23,1.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110655,tricyclodecenyl acetate ,192.258,2.1502,26.3,0.0,2.0,1.0,3.0,0.0,0.75,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
