CID,Name,log_vp,vp
86579,tricyclodecenyl propionate ,-2.8523361682891846,0.0014049595855960895
87453,indoflor ,-1.6155641078948975,0.024234602017789014
89440,tonalide ,-4.174659729003906,6.688677721757312e-05
90978,isolongifolanone ,-2.614672899246216,0.0024284384512212286
91497,galaxolide ,-3.2636034977233574,0.0005450000000000001
91604,lyral,-3.105186700820923,0.0007848981386572929
92292,cashmerane ,-2.2340023517608643,0.005834419448514984
92606,dynascone ,-1.943605899810791,0.01138660093356856
93199,myrac aldehyde ,-1.8977587223052979,0.01265439182677264
93375,triplal ,-0.5970200896263123,0.2529180998698145
94111,boisambrene forte ,-2.596045970916748,0.002534860296397008
95560,pollenal ?,-0.5297536253929138,0.2952883918206769
101330,cyclohexyl salicylate ,-3.7202248573303223,0.00019044744150521225
102844,dimethyl octenone ,-0.018527846783399582,0.9582352726853052
102861,methyl dihydrojasmonate ,-3.1310997009277344,0.0007394355034593894
102916,irotyl ,-0.421966016292572,0.37847219915110253
105512,floralozone ,-3.9113078117370605,0.00012265695762196327
105664,floramat ,-3.026888847351074,0.0009399638526563629
106714,herbavert ,-0.5773906111717224,0.26461191075617185
106745,tricyclodecenyl isobutyrate ,-3.12383770942688,0.0007519038188506188
106748,floralate ,-1.646186113357544,0.022584677148934945
106866,bark carbaldehyde ,-1.3930888175964355,0.04044931603120651
107166,ambrotech ,-2.1724612712860107,0.006722622562047881
107381,floropal,-1.9143643379211426,0.012179673941425214
108242,ISO E super ,-3.1781105995178223,0.000663574059926373
108312,phenyl hexanol ,-1.8547677993774414,0.013971151453473236
108443,rosyrane,-1.6268075704574585,0.023615243583578086
109116,jasmacyclat ,-1.947058916091919,0.011296426577285358
109418,floralol ,-1.4175372123718262,0.038235149059982786
