Eig07_AEA_dm_,HTm,Eig09_AEA_ri_,ATS6m,Mor11u,SpDiam_X,Psi_i_0d,SpMaxA_AEA_dm_,P_VSA_v_2,Mor17v,BP,log_vp,vp
-0.339,2.847,-0.734,2.152,-0.823,2.0,-0.004,0.368,36.145,-0.276,185.0,-0.5691897869110107,0.2696560776486711
-1.579,2.192,0.0,1.452,-0.658,2.0,0.025,0.518,36.145,-0.268,126.5,0.954278227243998,9.00074022
-1.0,2.531,0.0,1.896,-0.964,2.0,-0.013,0.453,36.145,-0.35,142.222,0.7481880270062004,5.599999999999999
-0.946,2.633,-0.899,1.952,-1.192,2.0,0.006,0.326,25.145,-0.388,191.111,-0.431798275933005,0.37
0.083,3.684,0.0,2.287,-1.525,2.0,0.001,0.274,25.145,-0.485,209.05912105373292,-1.18188214302063,0.0657836333945772
0.174,4.016,0.0,2.402,-1.31,2.0,0.001,0.261,36.145,-0.525,197.0244166658041,-2.057096242904663,0.0087680649273693
-0.432,3.971,0.0,2.577,-1.946,2.0,-0.001,0.302,36.145,-0.534,192.15425179244835,-1.8295915126800537,0.0148050025770038
0.412,4.663,0.0,2.91,-1.34,2.0,0.0,0.252,36.145,-0.42,249.0,-1.9177906513214111,0.0120839619383805
0.008,3.311,-0.16,2.274,0.182,2.0,0.002,0.262,22.0,-0.273,220.0,-0.8068710565567017,0.1560015607779459
1.0,4.979,0.0,2.621,-0.823,2.0,0.0,0.252,47.145,-0.055,214.4803594817596,-2.805955410003662,0.0015633081427828
0.371,4.245,0.0,2.377,-0.127,2.0,-0.001,0.274,36.145,-0.184,189.0303889636856,-1.8395787477493288,0.0144684248291955
-0.82,2.861,-0.879,2.024,-0.547,2.0,0.007,0.346,25.145,-0.257,120.201347911237,-0.280669629573822,0.5239988941244508
-0.207,3.351,-0.269,2.41,-2.061,2.0,-0.001,0.26,25.145,-0.601,180.1701758606129,-1.2384260892868042,0.0577529151557555
-0.106,3.981,-0.235,2.555,-1.206,2.0,-0.001,0.31,36.145,-0.373,231.5623368781852,-1.9422056674957275,0.0114233723356244
-1.0,2.978,-0.595,0.286,-1.3,2.0,-0.004,0.336,25.145,-0.219,162.47304529077724,-0.8476284146308899,0.1420272196709194
0.269,4.07,-0.026,2.41,-1.129,2.0,-0.001,0.286,36.145,-0.379,197.82444255889789,-1.807164549827576,0.0155896171593898
0.151,4.719,-0.286,1.724,-0.562,1.959,0.003,0.326,72.29,-0.202,243.0,-3.4634006023406982,0.0003440324416152
1.075,4.689,0.352,3.421,-2.418,1.978,0.0,0.199,25.145,-0.448,304.5,-3.425933990103397,0.0003750299999999
0.781,5.422,0.103,2.509,-0.241,1.98,0.001,0.238,47.145,-0.207,261.5872536440536,-2.861567497253418,0.0013754110297984
0.172,3.881,0.0,2.665,-1.764,2.0,0.001,0.263,36.145,-0.547,216.99643675880657,-1.4272942543029783,0.0373857197151395
-0.02,3.706,0.0,2.115,-0.455,2.0,0.002,0.306,36.145,-0.225,174.8030584030805,-1.3263198137283323,0.0471715542795816
-0.058,3.429,-0.348,2.239,-1.218,1.971,0.002,0.309,25.145,-0.571,201.2893493404449,-1.0154818296432495,0.0964979684545876
-0.765,2.695,-0.938,1.627,-1.353,2.0,0.007,0.421,36.145,-0.423,137.4122967683278,0.2148190885782241,1.639906504977212
-1.0,2.643,-0.435,0.055,-2.54,1.91,-0.003,0.329,42.683,-0.459,235.26526697978252,-1.2992962828549806,0.0502
0.814,5.184,0.123,2.531,-0.259,1.979,0.001,0.221,47.145,-0.139,229.0633707814916,-2.9305977821350098,0.0011732814864449
0.243,4.088,0.0,2.293,-0.251,2.0,-0.001,0.243,36.145,-0.135,169.54728176971662,-1.9971442222595213,0.0100659733844642
0.597,3.905,0.199,2.196,-3.112,1.947,0.0,0.219,42.683,-0.729,273.3367809143021,-2.543104648590088,0.0028634878941869
0.06,4.289,-0.519,2.166,0.004,1.975,0.002,0.325,58.145,-0.404,239.86447113413016,-0.2291405647993087,0.5900100851775906
