,CID,Canonical_Name,Imax,vp_exp,predicted_log_vp,vp_source,log_vp
234,7997,PROPYL ACETATE,71.0,24.75203561,0.0,experimental,1.3936109211619898
235,8007,1-BUTYLAMINE,100.0,81.75672367,0.0,experimental,1.912523479163557
236,8012,butyl mercaptan,85.0,30.0024674,0.0,experimental,1.4771569725243356
237,8025,ETHYL FORMATE,59.0,245.0,0.0,experimental,2.3891660843645326
238,8030,THIOPHENE,72.0,79.7,0.0,experimental,1.9014583213961123
239,8038,ISOBUTYL ACETATE,78.0,12.97606715,0.0,experimental,1.1131430843084342
240,8050,METHYL DECANOATE,28.0,0.037,0.0,experimental,-1.431798275933005
241,8051,2-HEPTANONE NATURAL,60.0,1.50012337,0.0,experimental,0.17612697686035447
243,8052,ISOAMYL FORMATE,78.0,,0.9645190834999084,predicted,0.9645190834999084
244,8063,VALERALDEHYDE,83.0,25.50209729,0.0,experimental,1.4065758982386283
245,8067,1-PENTANETHIOL,80.0,13.80113501,0.0,experimental,1.1399148043947178
246,8073,N-PROPYL FORMATE,39.0,,1.5877121686935425,predicted,1.5877121686935425
247,8077,DIETHYL DISULFIDE,63.0,,1.5264891386032104,predicted,1.5264891386032104
248,8078,CYCLOHEXANE,83.0,97.50801906,0.0,experimental,1.9890403335477493
249,8092,METHYL HEPTINE CARBONATE,44.5,,-0.7396051287651062,predicted,-0.7396051287651062
250,8093,2-OCTANONE,62.33333333333334,1.35,0.0,experimental,0.13033376849500614
251,8094,HEPTANOIC ACID,55.0,0.0097508,0.0,experimental,-2.0109597513442803
252,8103,HEXANOL,36.0,0.93007649,0.0,experimental,-0.0314813333612247
253,8106,1-HEXANETHIOL,85.0,,0.8906382918357849,predicted,0.8906382918357849
254,8118,DIPROPYL SULFIDE,95.0,,0.6730401515960693,predicted,0.6730401515960693
255,8125,1-OCTENE,58.5,15.0012337,0.0,experimental,1.1761269768603544
256,8137,METHYL OCTINE CARBONATE,45.0,,-1.327048659324646,predicted,-1.327048659324646
257,8138,METHYL 10-UNDECENOATE,31.0,,-2.2636516094207764,predicted,-2.2636516094207764
258,8139,METHYL LAURATE,28.0,0.00411,0.0,experimental,-2.3861581781239307
259,8148,DIBUTYL AMINE,70.0,2.02516655,0.0,experimental,0.3064607454625849
260,8158,NONANOIC ACID,46.0,0.00165,0.0,experimental,-2.7825160557860937
261,8164,OCTYL ACETATE,57.0,,-0.9052547812461853,predicted,-0.9052547812461853
262,8167,DECYL ACETATE,18.0,,-1.9050191640853882,predicted,-1.9050191640853882
263,8174,DECANOL,52.0,0.00750062,0.0,experimental,-2.1249028364149836
264,8176,OCTYL FORMATE,77.0,,-1.0092859268188477,predicted,-1.0092859268188477
265,8180,undecanoic acid,24.0,,-3.3719441890716553,predicted,-3.3719441890716553
266,8181,METHYL PALMITATE,62.0,,-4.514134883880615,predicted,-4.514134883880615
267,8184,UNDECANOL,33.5,,-2.046779155731201,predicted,-2.046779155731201
268,8185,10-UNDECEN-1-OL,39.0,,-2.3873395919799805,predicted,-2.3873395919799805
269,8186,UNDECANAL,62.0,,-1.1305011510849,predicted,-1.1305011510849
270,8193,1-DODECANOL,38.0,0.0097508,0.0,experimental,-2.0109597513442803
271,8194,DODECANAL,59.0,,-1.2184956073760986,predicted,-1.2184956073760986
272,8195,1-DODECANETHIOL,39.0,2.47520356,0.0,experimental,0.3936109209865317
273,8205,LAURYL ACETATE,31.0,,-3.5433461666107178,predicted,-3.5433461666107178
274,8298,HOMOMENTHOL,45.0,0.1,0.0,experimental,-1.0
275,8314,2 METHYL BUTYRIC ACID,85.0,,-0.3835424482822418,predicted,-0.3835424482822418
